index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
profit_factor,1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.7,2,2.5,3,4,5
profit_factor_peakers,1,1.05,1.1,1.15,1.2,1.3,1.4,1.5,1.75,2,2.5,3,3.5,4,5
